物品名称,时间,日期
水晶块,04:37:07.362,20250810
晶块,04:37:15.879,20250810
水晶块,04:37:15.923,20250810
水晶块,04:37:16.616,20250810
石珀,04:37:28.658,20250810
水晶块,04:37:32.387,20250810
白铁块,04:39:01.114,20250810
绝云椒椒,04:39:21.062,20250810
水晶块,04:39:42.613,20250810
石珀,04:39:43.709,20250810
魔晶块,04:39:49.857,20250810
水晶块,04:40:06.558,20250810
水晶块,04:41:11.104,20250810
水晶块,04:43:35.324,20250810
水晶块,04:43:41.473,20250810
水晶块,04:44:50.367,20250810
水晶块,04:45:29.366,20250810
水晶块,04:47:01.570,20250810
水晶块,04:47:21.605,20250810
水晶块,04:48:11.076,20250810
甜甜花,04:48:37.596,20250810
水晶块,04:48:54.212,20250810
铁块,04:48:55.118,20250810
水晶块,04:49:38.663,20250810
兽肉,04:49:45.711,20250810
兽肉,04:49:59.430,20250810
水晶块,04:50:11.365,20250810
铁块,04:50:14.856,20250810
水晶块,04:50:30.873,20250810
水晶块,04:50:31.649,20250810
白铁块,04:51:04.058,20250810
水晶块,04:51:06.615,20250810
水晶块,04:51:15.229,20250810
水晶块,04:51:16.773,20250810
白铁块,04:51:20.832,20250810
白铁块,04:51:43.368,20250810
水晶块,04:51:51.155,20250810
白铁块,04:51:55.725,20250810
水晶块,04:51:57.560,20250810
水晶块,04:52:05.513,20250810
水晶块,04:52:57.662,20250810
水晶块,04:52:58.266,20250810
水晶块,04:53:03.672,20250810
水晶块,04:54:06.032,20250810
夜泊石,04:54:06.731,20250810
水晶块,04:54:32.875,20250810
水晶块,04:55:23.608,20250810
水晶块,04:55:30.351,20250810
甜甜花,04:56:25.362,20250810
水晶块,04:56:35.115,20250810
白铁块,04:56:37.475,20250810
水晶块,04:56:39.268,20250810
白铁块,04:56:42.425,20250810
白铁块,04:56:47.782,20250810
白铁块,04:56:48.176,20250810
薄荷,04:57:00.915,20250810
白铁块,04:57:15.725,20250810
白铁块,04:57:16.806,20250810
水晶块,04:57:18.066,20250810
白铁块,04:57:21.540,20250810
白铁块,04:57:24.930,20250810
白铁块,04:57:27.013,20250810
水晶块,04:58:26.609,20250810
水晶块,04:58:27.884,20250810
水晶块,04:58:34.009,20250810
水晶块,04:58:36.070,20250810
铁块,04:59:33.974,20250810
水晶块,04:59:37.210,20250810
水晶块,05:00:00.423,20250810
薄荷,05:00:46.303,20250810
甜甜花,05:01:07.914,20250810
水晶块,05:01:09.509,20250810
白铁块,05:01:49.636,20250810
水晶块,05:01:50.360,20250810
白铁块,05:01:52.157,20250810
铁块,05:02:10.018,20250810
白铁块,05:02:10.833,20250810
树莓,05:02:21.582,20250810
水晶块,05:02:51.319,20250810
水晶块,05:03:21.908,20250810
甜甜花,05:05:24.786,20250810
水晶块,05:05:44.561,20250810
甜甜花,05:10:52.040,20250810
水晶块,05:10:58.789,20250810
水晶块,05:11:19.088,20250810
蘑菇,05:11:34.242,20250810
水晶块,05:11:44.933,20250810
水晶块,05:12:10.678,20250810
水晶块,05:12:29.481,20250810
铁块,05:12:31.585,20250810
魔晶块,05:15:39.661,20250810
水晶块,05:17:09.044,20250810
水晶块,05:17:26.648,20250810
水晶块,05:17:42.542,20250810
水晶块,05:17:42.945,20250810
水晶块,05:18:33.347,20250810
薄荷,05:18:35.842,20250810
水晶块,05:19:03.729,20250810
水晶块,05:19:26.690,20250810
水晶块,05:19:48.190,20250810
青蜜莓,05:25:11.534,20250810
稚嫩的尖齿,05:28:29.486,20250810
烛伞蘑菇,05:37:18.626,20250810
污秽的面具,05:37:58.217,20250810
破损的面具,05:38:02.723,20250810
沉重号角,05:39:53.858,20250810
沉重号角,05:39:54.559,20250810
沉重号角,05:39:55.307,20250810
沉重号角,05:39:57.554,20250810
不祥的面具,05:44:19.239,20250810
破损的面具,05:44:19.537,20250810
破损的面具,05:44:22.332,20250810
破损的面具,05:44:23.790,20250810
隙间之核,05:47:04.333,20250810
外世突触,05:47:04.575,20250810
外世突触,05:47:21.231,20250810
隙间之核,05:47:21.477,20250810
隙间之核,05:48:02.129,20250810
隙间之核中,05:48:02.236,20250810
外世突触,05:48:02.383,20250810
外世突,05:48:02.476,20250810
隙间之核,05:48:08.368,20250810
异界生命核,05:48:10.373,20250810
异界生命核,05:48:11.070,20250810
异界生命核,05:48:11.817,20250810
异界生命核,05:48:12.569,20250810
异界生命核,05:48:13.266,20250810
异界生命核,05:48:14.025,20250810
异界生命核,05:48:20.967,20250810
隙间之,05:48:22.372,20250810
隙间之核,05:48:22.427,20250810
外世突触,05:48:22.622,20250810
异界生命核,05:48:25.223,20250810
外世突触,05:48:26.764,20250810
隙间之,05:48:29.520,20250810
隙间之核,05:48:29.567,20250810
外世突触,05:48:29.771,20250810
异界生命核,05:48:30.019,20250810
茉洁草,05:48:43.736,20250810
茉洁草,05:48:43.803,20250810
外世突触,05:49:17.576,20250810
外世突触,05:50:08.720,20250810
外世突,05:50:08.865,20250810
隙间之核,05:50:09.015,20250810
外世突触,05:50:19.318,20250810
隙间之核,05:50:20.014,20250810
游医的药壶,05:50:20.622,20250810
甜甜花,05:52:16.111,20250810
星蕈,05:52:50.708,20250810
星蕈,05:52:52.452,20250810
星蕈,05:53:14.255,20250810
枯焦的星蕈,05:53:33.998,20250810
隐兽利爪,05:53:43.893,20250810
隐兽指爪,05:53:44.163,20250810
隐兽利爪,05:53:45.402,20250810
隐兽指爪,05:53:45.655,20250810
隐兽鬼,05:54:34.206,20250810
隐兽鬼爪,05:54:36.404,20250810
隐兽利爪,05:54:48.146,20250810
隐兽鬼爪,05:54:48.540,20250810
隐兽利爪,05:54:48.856,20250810
隐兽指爪,05:54:49.153,20250810
隐兽指爪,05:54:49.445,20250810
隐兽利爪,05:54:49.696,20250810
隐兽利爪,05:54:50.898,20250810
污秽的面具,05:56:33.946,20250810
破损的面具,05:56:34.242,20250810
波损的,05:56:34.347,20250810
牢固的箭簇,05:56:41.789,20250810
牢固的箭簇,05:56:41.854,20250810
隐兽利爪,06:00:28.775,20250810
隐兽指爪,06:00:28.825,20250810
隐兽利爪,06:00:40.225,20250810
隐兽指爪,06:01:20.674,20250810
隐兽指爪,06:01:22.872,20250810
隐兽指爪,06:02:14.172,20250810
隐兽利爪,06:02:14.326,20250810
流放者头冠,06:02:14.531,20250810
隐兽指爪,06:02:23.373,20250810
隐兽指爪,06:02:24.915,20250810
白铁块,06:02:30.116,20250810
隐兽鬼爪,06:03:14.514,20250810
隐兽利价,06:03:14.878,20250810
隐兽利爪,06:03:14.926,20250810
史莱姆凝液,06:07:23.511,20250810
史莱姆原浆,06:07:28.052,20250810
史莱姆凝液,06:07:28.610,20250810
甜甜花,06:10:38.849,20250810
沉重号角,06:13:10.542,20250810
破损的面具,06:13:10.794,20250810
破损的,06:13:10.886,20250810
黑铜号角,06:13:10.996,20250810
沉重号角,06:13:11.143,20250810
黑铜号角,06:13:11.394,20250810
破损的面具,06:13:11.550,20250810
黑晶号角,06:13:11.739,20250810
兽肉,06:14:43.289,20250810
黑铜号角,06:15:05.929,20250810
黑铜号,06:15:06.036,20250810
沉重号角,06:15:06.185,20250810
黑晶号角,06:15:06.434,20250810
破损的面具,06:15:49.138,20250810
破损的,06:15:49.233,20250810
黑铜号角,06:15:55.828,20250810
沉重号角,06:15:56.083,20250810
破损的面具,06:15:56.390,20250810
破损的面具,06:15:59.633,20250810
冰晶蝶,06:16:58.985,20250810
冰晶蝶,06:16:59.327,20250810
黑晶号角,06:17:25.387,20250810
黑铜号角,06:17:25.685,20250810
黑铜号,06:17:25.785,20250810
沉重号角,06:17:25.936,20250810
破损的面具,06:17:26.079,20250810
破损的,06:17:26.183,20250810
不祥的面具,06:17:35.625,20250810
破损的面具,06:18:18.231,20250810
破损的,06:18:18.327,20250810
黑铜号角,06:18:28.436,20250810
沉重号角,06:18:28.688,20250810
锐利的箭簇,06:18:48.025,20250810
牢固的箭,06:18:50.083,20250810
牢固的,06:18:50.178,20250810
破损的面具,06:19:44.827,20250810
沉重号角,06:19:57.573,20250810
破损的面具,06:20:12.628,20250810
教官的怀,06:20:12.923,20250810
教官的怀表,06:20:12.971,20250810
教官的,06:20:13.020,20250810
黑晶号角,06:20:13.169,20250810
沉重号角,06:20:13.420,20250810
黑铜号角,06:20:13.577,20250810
破损的面具,06:20:59.989,20250810
破损,06:21:00.072,20250810
锐利的箭,06:21:23.481,20250810
锐利的箭簇,06:21:23.526,20250810
牢固的箭簇,06:21:23.728,20250810
牢固的,06:21:23.818,20250810
破损的面具,06:21:23.931,20250810
沉重号角,06:21:27.022,20250810
破损的面具,06:21:27.229,20250810
破损的,06:21:27.323,20250810
黑铜号角,06:21:27.383,20250810
黑铜号,06:21:27.470,20250810
黑晶号角,06:21:27.568,20250810
沉重号角,06:22:08.579,20250810
沉重号角,06:22:09.315,20250810
沉重号角,06:22:10.772,20250810
破损的面具,06:22:13.482,20250810
INNA,06:22:13.549,20250810
破损的面具,06:22:23.366,20250810
破损的,06:22:23.470,20250810
黑铜号角,06:22:23.629,20250810
黑铜号,06:22:23.727,20250810
污秽的面具,06:22:23.864,20250810
甜甜花,06:22:50.591,20250810
破损的面具,06:23:10.325,20250810
破损的,06:23:10.417,20250810
破损的面,06:23:14.868,20250810
破损的面具,06:23:14.930,20250810
污秽的面具,06:23:57.076,20250810
面具,06:23:57.214,20250810
黑晶号角,06:25:43.524,20250810
沉重号角,06:25:43.767,20250810
黑铜号角,06:25:44.017,20250810
黑铜号角,06:26:28.961,20250810
破损的面具,06:26:29.017,20250810
黑铜号角,06:26:33.458,20250810
污秽的面具,06:27:10.915,20250810
黑铜号角,06:27:11.169,20250810
沉重号角,06:27:11.359,20250810
岩晶蝶,06:27:35.967,20250810
沉重号角,06:28:14.619,20250810
黑铜号角,06:28:14.915,20250810
破损的面具,06:28:15.165,20250810
黑晶号角,06:28:15.461,20250810
黑铜号角,06:30:14.169,20250810
黑铜号角,06:30:14.970,20250810
黑晶号角,06:30:15.011,20250810
破损的面具,06:30:27.471,20250810
沉重号角,06:30:27.765,20250810
黑铜号角,06:30:28.059,20250810
破损的面具,06:30:47.504,20250810
黑晶号角,06:30:47.753,20250810
沉重号角,06:30:47.911,20250810
破损的面具,06:31:46.611,20250810
树莓,06:33:40.701,20250810
薄荷,06:33:52.152,20250810
须弥蔷薇,06:35:38.800,20250810
污秽的面具,06:35:54.211,20250810
亏秽的面具,06:35:54.352,20250810
破损的面具,06:35:54.509,20250810
波损的,06:35:54.636,20250810
破损的面具,06:36:00.357,20250810
破损的面具,06:36:01.092,20250810
破损的面具,06:36:01.855,20250810
破损的面具,06:36:02.589,20250810
破损的面具！,06:36:03.348,20250810
破损的面具,06:36:04.046,20250810
破损的面具！,06:36:04.111,20250810
破损的面具,06:36:04.446,20250810
破损的面具,06:36:05.954,20250810
须弥蔷薇,06:37:54.643,20250810
沉重号角,06:38:14.999,20250810
污秽的面具,06:38:17.200,20250810
沉重号角,06:38:17.240,20250810
黑铜号角,06:39:12.646,20250810
流放者之花,06:39:12.697,20250810
沉重号角,06:39:16.292,20250810
沉重号角,06:39:17.038,20250810
黑晶号角,06:39:28.537,20250810
沉重号角,06:39:28.944,20250810
破损的面具,06:39:29.194,20250810
破损的,06:39:29.286,20250810
黑铜号角,06:39:29.396,20250810
黑铜号,06:39:29.489,20250810
黑晶号角,06:39:30.487,20250810
黑铜号角,06:39:30.737,20250810
黑铜号,06:39:30.843,20250810
破损的面具,06:39:30.987,20250810
破损的,06:39:31.094,20250810
流放者之花,06:39:31.240,20250810
流放者,06:39:31.342,20250810
茉洁草,06:40:43.739,20250810
茉洁草,06:40:50.090,20250810
茉洁草,06:42:09.082,20250810
破损的面具,06:42:30.134,20250810
教官的茶杯,06:42:31.035,20250810
教官的茶杯,06:42:31.784,20250810
黑铜号角,06:42:33.302,20250810
沉重号角,06:42:34.943,20250810
黑晶号角,06:42:35.243,20250810
沉重号角,06:42:47.189,20250810
污秽的面具,06:42:49.095,20250810
沉重号角,06:42:49.285,20250810
教官的茶杯,06:42:49.483,20250810
甜甜花,06:43:17.143,20250810
黑铜号角,06:44:03.886,20250810
黑晶号角,06:44:04.133,20250810
沉重号角,06:44:04.383,20250810
茉洁草,06:44:48.338,20250810
泡泡桔,06:44:52.289,20250810
沉重号角,06:45:09.438,20250810
破损的面具,06:45:10.191,20250810
沉重号角,06:45:10.239,20250810
破损的面具,06:45:11.578,20250810
破损的面具,06:45:12.328,20250810
破损的面具,06:45:13.032,20250810
破损的面具,06:45:13.789,20250810
牢固的箭蔟,06:48:57.624,20250810
牢固的箭,06:48:57.681,20250810
沉重号角,06:49:08.436,20250810
破损的面具,06:49:08.492,20250810
沉重号角,06:49:10.033,20250810
破损的面具,06:49:12.981,20250810
沉重号角,06:49:13.683,20250810
破损的面具,06:49:13.734,20250810
牢固的箭,06:49:21.292,20250810
牢固的箭簇,06:49:21.325,20250810
破损的面具,06:49:22.778,20250810
黑晶号角,06:49:25.933,20250810
沉重号角,06:49:26.193,20250810
黑铜号角,06:49:26.369,20250810
黑铜号,06:49:26.483,20250810
破损的面具,06:49:26.532,20250810
啮合齿轮,06:50:23.434,20250810
机关卫齿轮,06:50:25.530,20250810
机关正齿轮,06:50:25.580,20250810
机关正齿轮,06:50:26.828,20250810
啮合齿轮,06:50:39.083,20250810
机关正齿轮,06:50:39.331,20250810
黑铜号角,06:50:41.076,20250810
黑晶号角,06:50:41.327,20250810
沉重号角,06:50:41.575,20250810
污秽的面具,06:50:41.827,20250810
破损的面具,06:51:50.477,20250810
沉重号角,06:51:50.718,20250810
黑铜号角,06:51:50.873,20250810
锐利的箭簇,06:51:52.734,20250810
箭族,06:51:52.825,20250810
牢固的箭,06:51:55.775,20250810
牢固的箭簇,06:51:55.830,20250810
黑晶号角,06:53:10.922,20250810
白萝,06:56:09.981,20250810
超载,06:57:49.571,20250810
禁咒绘卷,06:57:49.869,20250810
封魔绘卷,06:57:50.030,20250810
内面,06:58:00.576,20250810
黑晶号角,06:58:00.630,20250810
黑铜号角,06:58:03.469,20250810
地脉的枯叶,06:58:47.416,20250810
地脉的枯叶,06:58:49.634,20250810
地脉的枯叶,06:58:50.371,20250810
地脉的枯叶,06:58:55.419,20250810
沉重号角,07:00:24.411,20250810
沉重号角,07:00:24.466,20250810
黑铜号角,07:00:24.667,20250810
污秽的面具,07:00:25.171,20250810
牢固的箭簇,07:00:25.673,20250810
沉重号角,07:00:25.838,20250810
破损的面具,07:00:26.174,20250810
破损的面具,07:00:55.317,20250810
不祥的面具,07:00:55.573,20250810
破损的面具,07:00:56.364,20250810
污罗的面,07:01:58.781,20250810
污秽的面具,07:01:58.827,20250810
破损的面具,07:01:58.867,20250810
污秽的面具,07:02:00.275,20250810
污秽的面具,07:02:00.977,20250810
破损的面具,07:02:04.812,20250810
污秽的面具,07:02:07.215,20250810
游医的药壶,07:02:12.270,20250810
黑铜号角,07:02:12.663,20250810
黑晶号角,07:02:12.909,20250810
沉重号角,07:02:13.158,20250810
破损的面具,07:02:14.872,20250810
甜甜花,07:02:38.464,20250810
沉重号角,07:03:53.812,20250810
黑铜号角,07:03:54.420,20250810
黑铜号角,07:03:55.166,20250810
封魔绘卷,07:07:57.113,20250810
黑铜号角,07:08:09.763,20250810
黑铜号角,07:08:11.958,20250810
沉重号角,07:08:14.162,20250810
黑铜号角,07:08:14.410,20250810
树莓,07:08:45.006,20250810
薄红蟹,07:08:57.363,20250810
沉重号角,07:09:39.965,20250810
破损的面具,07:09:40.215,20250810
破损的,07:09:40.308,20250810
黑晶号角,07:09:40.512,20250810
黑铜号角,07:09:40.699,20250810
黑铜号,07:09:40.760,20250810
薄荷,07:10:39.410,20250810
薄荷,07:10:44.124,20250810
薄荷,07:10:51.805,20250810
湿沌装置,07:11:36.112,20250810
混沌装置,07:11:36.158,20250810
混沌炉心,07:11:36.258,20250810
混沌回路,07:11:52.671,20250810
混沌装置,07:12:49.710,20250810
昆沌装置,07:12:49.849,20250810
混沌炉心,07:12:50.004,20250810
混沌回路,07:12:50.254,20250810
混沌装置,07:13:00.151,20250810
混沌回路,07:13:00.903,20250810
须弥蔷薇,07:13:38.406,20250810
混沌装置,07:13:54.400,20250810
混沌炉心,07:13:54.649,20250810
混沌装置,07:19:47.554,20250810
混沌回路,07:19:47.801,20250810
混沌炉心,07:19:48.052,20250810
微光角菌,07:20:36.002,20250810
混沌装置,07:21:06.855,20250810
混沌回路,07:21:07.746,20250810
混沌回,07:21:07.851,20250810
混沌回路,07:22:08.147,20250810
混沌炉心,07:22:08.397,20250810
混沌装置,07:22:14.247,20250810
混沌炉心,07:25:15.601,20250810
混沌回路,07:25:15.846,20250810
混沌装置,07:25:16.300,20250810
嗜髓蜥,07:25:25.752,20250810
混沌机关,07:25:35.954,20250810
混沌枢纽,07:25:36.252,20250810
混沌枢纽,07:25:41.555,20250810
混沌机关,07:25:42.302,20250810
混沌机关,07:25:43.052,20250810
混沌机关,07:25:43.751,20250810
混沌机关,07:25:44.502,20250810
混沌机关,07:25:45.245,20250810
混沌真眼,07:25:59.337,20250810
结实的骨片,07:27:23.344,20250810
脆弱的骨片,07:27:23.593,20250810
石化的骨片,07:27:24.151,20250810
石化的骨片,07:30:03.299,20250810
结实的骨片,07:30:03.544,20250810
石化的骨片,07:30:03.636,20250810
结实的骨片,07:30:04.541,20250810
脆弱的骨片,07:31:32.286,20250810
结实的骨片,07:31:32.696,20250810
薄荷,07:32:31.324,20250810
烈焰花,07:32:45.193,20250810
结实的骨片,07:32:55.598,20250810
石化的骨片,07:33:13.241,20250810
结实的骨片,07:33:13.644,20250810
结实的,07:33:13.739,20250810
脆弱的骨片,07:33:13.944,20250810
脆弱的骨片,07:35:31.339,20250810
战狂的鬼面,07:35:31.436,20250810
结实的骨片,07:35:49.983,20250810
结实的,07:35:50.092,20250810
战狂的鬼面,07:35:50.234,20250810
脆弱的骨片,07:35:52.983,20250810
石化的骨片,07:35:53.237,20250810
结实的骨片,07:35:53.394,20250810
结实的,07:35:53.484,20250810
结实的骨片,07:36:58.838,20250810
脆弱的骨片,07:37:17.847,20250810
岩晶蝶,07:37:54.491,20250810
岩晶蝶,07:37:58.751,20250810
脆弱的骨片,07:38:22.590,20250810
石化的骨片,07:38:22.850,20250810
结实的骨片,07:38:22.905,20250810
石化的骨片,07:38:38.392,20250810
结实的骨片,07:38:38.635,20250810
结实的,07:38:38.741,20250810
教官的怀表,07:38:43.144,20250810
石化的骨片,07:38:43.393,20250810
脆弱的骨片,07:38:43.644,20250810
结实的骨片,07:38:43.891,20250810
结实的,07:38:43.987,20250810
游医的怀钟,07:38:44.049,20250810
游医的,07:38:44.138,20250810
结实的骨片,07:39:47.939,20250810
结实的骨片,07:39:48.641,20250810
结实的骨片,07:39:49.343,20250810
结实的骨片,07:39:50.889,20250810
结实的骨片,07:39:51.547,20250810
结实的骨片,07:39:53.591,20250810
脆弱的骨片,07:39:59.044,20250810
石化的骨片,07:39:59.353,20250810
折光的胚芽,07:46:15.338,20250810
惑光的阔叶,07:46:15.588,20250810
迷光的叶之心,07:46:15.841,20250810
折光的胚芽,07:47:08.693,20250810
惑光的阔叶,07:47:09.335,20250810
惑光的阔叶.,07:47:09.446,20250810
迷光的叶之心,07:47:11.187,20250810
迷光的叶之心,07:53:21.200,20250810
折光的胚芽,07:54:03.132,20250810
惑光的阔叶,07:54:03.381,20250810
感光的,07:54:03.487,20250810
迷光的叶之心,07:54:03.636,20250810
迷光的蜷叶,07:54:03.750,20250810
折光的胚芽,07:54:06.441,20250810
游医的银莲,07:54:06.685,20250810
游医的,07:54:06.777,20250810
惑光的阔叶,07:54:06.941,20250810
迷光的叶之心,07:54:07.242,20250810
迷光的蜷叶,07:54:07.389,20250810
甜甜花,04:14:41.603,20250811
水晶块,04:17:28.302,20250811
铁块,04:19:25.200,20250811
铁块,04:24:35.199,20250811
铁块,04:24:48.749,20250811
铁块,04:27:35.497,20250811
铁块,04:27:39.690,20250811
绝云椒椒,04:34:28.944,20250811
水晶块,04:41:34.509,20250811
魔晶块,04:41:45.196,20250811
甜甜花,04:43:17.651,20250811
铁块,04:43:34.703,20250811
薄荷,04:52:09.953,20250811
魔晶块,04:53:30.057,20250811
水晶块,04:53:41.469,20250811
魔晶块,04:53:42.311,20250811
水晶块,04:54:37.847,20250811
水晶块,04:54:41.349,20250811
魔晶块,04:54:41.658,20250811
魔晶块,04:54:43.307,20250811
铁块,04:54:44.540,20250811
薄荷,04:55:54.451,20250811
水晶块,04:56:04.102,20250811
魔晶块,04:56:07.359,20250811
水晶块,04:56:14.494,20250811
魔晶块,04:56:20.954,20250811
铁块,04:56:53.425,20250811
白铁块,04:57:08.249,20250811
铁块,04:57:14.596,20250811
树莓,04:57:26.747,20250811
水晶块,04:58:23.751,20250811
水晶块,04:58:29.597,20250811
魔晶块,04:59:02.105,20250811
魔晶块,04:59:13.551,20250811
蘑菇,05:00:32.044,20250811
甜甜花,05:02:26.461,20250811
水晶块,05:02:32.646,20250811
甜甜花,05:02:44.740,20250811
水晶块,05:02:50.100,20250811
水晶块,05:03:18.593,20250811
水晶块,05:03:37.143,20250811
甜甜花,05:03:48.148,20250811
胡萝,05:03:50.856,20250811
胡萝卜,05:03:50.904,20250811
蘑菇,05:04:27.568,20250811
铁块,05:04:35.301,20250811
水晶块,05:07:31.491,20250811
铁块,05:07:57.239,20250811
铁块,05:08:45.301,20250811
薄荷,05:11:39.392,20250811
红角蜥,05:13:02.056,20250811
水晶块,05:13:28.691,20250811
青蜜莓,05:16:13.847,20250811
青蜜莓,05:16:23.692,20250811
青蜜莓,05:16:23.986,20250811
青蜜莓,05:16:30.939,20250811
青蜜莓,05:16:39.795,20250811
青蜜莓,05:17:04.899,20250811
青蜜莓,05:17:14.643,20250811
青蜜莓,05:17:38.707,20250811
青蜜莓,05:18:10.706,20250811
青蜜莓,05:18:20.240,20250811
青蜜莓,05:18:37.151,20250811
青蜜莓,05:18:58.942,20250811
青蜜莓,05:18:59.693,20250811
青蜜莓,05:19:13.599,20250811
青蜜莓,05:19:15.940,20250811
青蜜莓,05:19:38.143,20250811
青蜜莓,05:20:05.306,20250811
青蜜莓,05:20:05.690,20250811
青蜜莓,05:20:15.394,20250811
青蜜莓,05:20:20.755,20250811
青蜜莓,05:20:30.099,20250811
青蜜莓,05:20:33.140,20250811
青蜜莓,05:20:56.794,20250811
青蜜莓,05:21:14.242,20250811
青蜜莓,05:21:24.737,20250811
青蜜莓,05:22:02.254,20250811
青蜜莓,05:22:05.449,20250811
不祥的面具,05:24:46.239,20250811
破损的面具,05:24:46.494,20250811
惑光的阔叶,05:31:03.794,20250811
惑光的,05:31:03.888,20250811
破损的面具,05:31:05.248,20250811
破损的,05:31:05.337,20250811
污秽的面具,05:31:05.506,20250811
破损的面具,05:31:12.152,20250811
破损的,05:31:12.286,20250811
折光的胚芽,05:32:02.595,20250811
微光角菌,05:33:49.041,20250811
茉洁草,05:41:40.788,20250811
隙间之核,05:50:03.338,20250811
外世突触,05:50:03.698,20250811
外世突触,05:50:09.649,20250811
外世突,05:50:09.786,20250811
隙间之核,05:50:09.947,20250811
甜甜花,05:51:12.538,20250811
星蕈,05:51:36.691,20250811
白铁块,05:51:42.900,20250811
星蕈,05:51:45.588,20250811
破损的面具,06:02:00.893,20250811
牢固的箭,06:04:26.342,20250811
牢固的箭簇,06:04:26.393,20250811
海螺,06:05:11.454,20250811
海螺,06:05:11.789,20250811
海螺,06:05:12.287,20250811
海螺,06:05:12.798,20250811
海螺,06:05:19.706,20250811
海螺,06:05:20.093,20250811
海螺,06:05:20.492,20250811
海螺,06:05:20.991,20250811
海螺,06:05:21.491,20250811
海螺,06:05:22.092,20250811
海螺,06:05:22.453,20250811
海螺,06:05:24.404,20250811
海螺,06:05:24.797,20250811
海螺,06:05:25.243,20250811
海螺,06:05:25.691,20250811
海螺,06:05:26.145,20250811
海螺,06:05:26.647,20250811
海螺,06:05:27.043,20250811
海螺,06:05:32.395,20250811
海螺,06:05:32.734,20250811
海螺,06:05:33.391,20250811
隐兽指爪,06:12:57.564,20250811
沉重号角,06:12:57.844,20250811
铁块,06:14:14.800,20250811
铁块,06:15:19.995,20250811
白铁块,06:27:03.942,20250811
白铁块,06:27:04.292,20250811
白铁块,06:27:04.351,20250811
黑铜号角,06:39:16.393,20250811
沉重号角,06:39:16.643,20250811
黑晶号角,06:39:20.400,20250811
破损的面具,06:39:26.997,20250811
破损的,06:39:27.092,20250811
卷心菜,06:40:32.661,20250811
破损的面具,06:46:41.048,20250811
破损的面,06:46:41.142,20250811
甜甜花,06:50:30.191,20250811
甜甜花,06:50:30.242,20250811
萤火虫,06:59:13.487,20250811
树莓,07:11:54.534,20250811
污秽的面具,07:20:47.862,20250811
茉洁草,07:32:00.252,20250811
茉洁草,07:32:06.306,20250811
茉洁草,07:33:57.445,20250811
甜甜花,07:35:16.847,20250811
茉洁草,07:38:18.654,20250811
蝴蝶,07:38:19.547,20250811
